Authors,Year,Title,DOI,URL
"A. Amalia, O. S. Sitompul, E. B. Nababan and T. Mantoro",2020,An Efficient Text Classification Using fastText for Bahasa Indonesia Documents Classification,10.1109/DATABIA50434.2020.9190447,https://ieeexplore.ieee.org/document/9190447/
"M. Andriansyah, A. I. Sukowati, M. Samos, I. Purwanto, A. Akbar and M. Subali",2018,Developing Indonesian corpus of pornography using simple NLP-text mining (NTM) approach to support government anti-pornography program,10.1109/IAC.2017.8280618,https://ieeexplore.ieee.org/document/8280618/
"L. Anindyati, A. Purwarianti and A. Nursanti",2019,Optimizing Deep Learning for Detection Cyberbullying Text in Indonesian Language,10.1109/ICAICTA.2019.8904108,https://ieeexplore.ieee.org/document/8904108/
"Christianto, J. C. Young and A. Rusli",2020,Evaluating rnn architectures for handling imbalanced dataset in multi-class text classification in bahasa indonesia,10.30534/ijatcse/2020/217952020,http://www.warse.org/IJATCSE/static/pdf/file/ijatcse217952020.pdf
"D. A. C. Dewi, Shaufiah and I. Asror",2018,Analysis and implementation of cross lingual short message service spam filtering using graph-based k-nearest neighbor,10.1088/1742-6596/971/1/012042,https://iopscience.iop.org/article/10.1088/1742-6596/971/1/012042/meta
"Dhammajoti, J. C. Young and A. Rusli",2020,A comparison of supervised text classification and resampling techniques for user feedback in bahasa Indonesia,10.1109/ICIC50835.2020.9288588,https://ieeexplore.ieee.org/document/9288588/
F. Dhomas Hatta and J. Kiki Purnama,2021,Classifying Medical Document in Bahasa Indonesia using Semi-Supervised Learning,http://dx.doi.org/10.1088/1757-899X/1077/1/012015,https://iopscience.iop.org/article/10.1088/1757-899X/1077/1/012015/meta
I. Ferdino and A. Rusli,2019,Using naïve bayes classifier for application feedback classification and management in Bahasa Indonesia,10.1109/CONMEDIA46929.2019.8981830,https://ieeexplore.ieee.org/document/8981830/
"D. Gunawan, R. Mahardika, F. Ranja, S. Purnamawati and I. Jaya",2019,The identification of pornographic sentences in Bahasa Indonesia,10.1016/j.procs.2019.11.162,https://www.sciencedirect.com/science/article/pii/S1877050919318733
"A. Hikmah, S. Adi and M. Sulistiyono",2020,The Best Parameter Tuning on RNN Layers for Indonesian Text Classification,10.1109/ISRITI51436.2020.9315425,https://ieeexplore.ieee.org/document/9315425/
"Z. Indra, J. Jaafar, N. Zamin and Z. A. Bakar",2016,A language identifier for Indonesian and Malay text document,10.1109/ISMSC.2015.7594040,https://ieeexplore.ieee.org/document/7594040/
"J. Jaafar, Z. Indra and N. Zamin",2016,A category classification algorithm for Indonesian and Malay news documents,10.11113/jt.v78.9549,https://journals.utm.my/jurnalteknologi/article/view/9549
"M. I. Jambak, F. Mohammed, N. Hidayati, R. Efendi and R. Primartha",2019,The impacts of singular value decomposition algorithm toward indonesian language text documents clustering,10.1007/978-3-319-99007-1_17,https://link.springer.com/chapter/10.1007/978-3-319-99007-1_17
R. I. Kurnia and A. S. Girsang,2021,Classification of user comment using word2vec and deep learning,10.46338/IJETAE0521_01,https://www.researchgate.net/profile/Rafly-Indra/publication/350322313_Classification_of_User_Comment_Using_Word2vec_and_Deep_Learning/links/6059e228458515e834660d11/Classification-of-User-Comment-Using-Word2vec-and-Deep-Learning.pdf
"S. F. Kusuma, D. Siahaan and U. L. Yuhana",2016,Automatic Indonesia's questions classification based on bloom's taxonomy using Natural Language Processing a preliminary study,10.1109/ICITSI.2015.7437696,https://ieeexplore.ieee.org/document/7437696/
R. P. Kusumawardani and S. O. Khairunnisa,2019,Author-Topic Modelling for Reviewer Assignment of Scientific Papers in Bahasa Indonesia,10.1109/IALP.2018.8629124,https://ieeexplore.ieee.org/document/8629124/
"H. Mohamed, N. Omar and M. J. Ab Aziz",2018,The Effectiveness of Using Malay Affixes for Handling Unknown Words In Unsupervised HMM POS Tagger,,https://www.researchgate.net/publication/330384657_The_Effectiveness_of_Using_Malay_Affixes_for_Handling_Unknown_Words_In_Unsupervised_HMM_POS_Tagger/link/5c3d99c9458515a4c726d871/download
"S. R. Mohammad Najib, N. Abd Rahman, N. Kamal Ismail, N. Alias, Z. Mohamed Nor and M. N. Alias",2017,Comparative Study of Machine Learning Approach on Malay Translated Hadith Text Classification based on Sanad,10.1051/matecconf/201713500066,https://oarep.usim.edu.my/jspui/bitstream/123456789/1121/1/Comparative%20Study%20of%20Machine%20Learning%20Approach%20on%20Malay%20Translated%20Hadith%20Text%20Classification%20based%20on%20Sanad.pdf
"B. P. Nayoga, R. Adipradana, R. Suryadi and D. Suhartono",2021,Hoax Analyzer for Indonesian News Using Deep Learning Models,10.1016/j.procs.2021.01.059,https://www.sciencedirect.com/science/article/pii/S1877050921000739
"I. Y. R. Pratiwi, R. A. Asmara and F. Rahutomo",2018,Study of hoax news detection using naïve bayes classifier in Indonesian language,10.1109/ICTS.2017.8265649,https://ieeexplore.ieee.org/document/8265649/
"N. Puteh, M. Z. Husin, H. M. Tahir and A. Hussain",2019,Building a question classification model for a malay question answering system,,https://www.ijitee.org/wp-content/uploads/papers/v8i5s/ES3415018319.pdf
"M. I. D. Putra, B. Irmawati, W. Wedashwara, D. Pramesti and S. O. Khairunnisa",2020,Age Group Based Document Classification in Bahasa Indonesia,10.1109/ICADEIS49811.2020.9277104,https://ieeexplore.ieee.org/document/9277104/
"S. K. Putri, A. Amalia, E. B. Nababan and O. S. Sitompul",2021,Bahasa Indonesia pre-trained word vector generation using word2vec for computer and information technology field,http://dx.doi.org/10.1088/1742-6596/1898/1/012007,https://iopscience.iop.org/article/10.1088/1742-6596/1898/1/012007/meta
"M. A. Rahmat, Indrabayu and I. S. Areni",2019,Hoax web detection for news in bahasa using support vector machine,10.1109/ICOIACT46704.2019.8938425,https://ieeexplore.ieee.org/document/8938425/
"M. A. Ramdhani, D. S. a. Maylawati and T. Mantoro",2020,Indonesian news classification using convolutional neural network,10.11591/ijeecs.v19.i2.pp1000-1009,https://pdfs.semanticscholar.org/e825/69350f83a20f88968d4035826bc529b8600a.pdf
"A. A. P. Ratna, N. A. Wulandari, A. Kaltsum, I. Ibrahim and P. D. Purnamasari",2019,Answer categorization method using K-means for Indonesian language automatic short answer grading system based on latent semantic analysis,10.1109/QIR.2019.8897845,https://ieeexplore.ieee.org/document/8897845/
"A. Rusli, J. C. Young and N. M. S. Iswari",2020,Identifying fake news in indonesian via supervised binary text classification,10.1109/IAICT50021.2020.9172020,https://ieeexplore.ieee.org/document/9172020/
T. Ruzsics and T. Samardzic,2017,Neural sequence-to-sequence learning of internal word structure,,https://aclanthology.org/K17-1020.pdf
C. E. R. Salim and D. Suhartono,2021,Long short-term memory for hate speech and abusive language detection on Indonesian YouTube comment section,10.18178/wcse.2021.06.029,http://www.wcse.org/index.php?m=content&c=index&a=show&catid=22&id=989
"G. Septian, A. Susanto and G. F. Shidik",2017,Indonesian news classification based on NaBaNA,10.1109/ISEMANTIC.2017.8251865,https://ieeexplore.ieee.org/document/8251865/
"A. A. Septiandri, Y. A. Winatmoko and I. F. Putra",2020,Knowing Right from Wrong: Should We Use More Complex Models for Automatic Short-Answer Scoring in Bahasa Indonesia?,,https://www.aclweb.org/anthology/2020.sustainlp-1.1/
"R. Setiabudi, N. M. S. Iswari and A. Rusli",2021,Enhancing text classification performance by preprocessing misspelled words in Indonesian language,http://dx.doi.org/10.12928/TELKOMNIKA.v19i4.20369,https://www.proquest.com/scholarly-journals/enhancing-text-classification-performance/docview/2548718554/se-2?accountid=8330
E. Setiani and W. Ce,2018,Text Classification Services Using Naïve Bayes for Bahasa Indonesia,10.1109/ICIMTech.2018.8528258,https://ieeexplore.ieee.org/document/8528258/
"E. I. Setiawan, A. J. Wicaksono, J. Santoso, Y. Kristian, S. Sumpeno and M. H. Purnomo",2018,N-Gram Keyword Retrieval on Association Rule Mining for Predicting Teenager Deviant Behavior from School Regulation,10.1109/CENIM.2018.8710892,https://ieeexplore.ieee.org/document/8710892/
D. D. Sinaga and S. Hansun,2018,Indonesian text document similarity detection system using rabin-karp and confix-stripping algorithms,10.24507/ijicic.14.05.1893,http://www.ijicic.org/ijicic-140519.pdf
"D. Suhartono, A. P. Gema, S. Winton, T. David, M. I. Fanany and A. M. Arymurthy",2020,Argument annotation and analysis using deep learning with attention mechanism in Bahasa Indonesia,10.1186/s40537-020-00364-z,https://link.springer.com/article/10.1186/s40537-020-00364-z
"M. Sun, M. S. Leo, E. Munawwar, P. C. Condylis, S.-y. Kong, S. P. Lee, A. Hidayat and M. D. Kerianto",2020,Semi-supervised Category-specific Review Tagging on Indonesian E-Commerce Product Reviews,10.18653/v1/2020.ecnlp-1.9,https://aclanthology.org/2020.ecnlp-1.9
"V. G. Tandra, Y. Yowen, R. Tanjaya, W. L. Santoso and N. Nurul Qomariyah",2021,Short Message Service Filtering with Natural Language Processing in Indonesian Language,10.1109/ICISS53185.2021.9532503,https://ieeexplore.ieee.org/document/9532503/
"A. Theodorus, T. K. Prasetyo, R. Hartono and D. Suhartono",2021,Short Message Service (SMS) Spam Filtering using Machine Learning in Bahasa Indonesia,10.1109/EIConCIT50028.2021.9431859,https://ieeexplore.ieee.org/document/9431859/
M. F. S. Thirafi and F. Rahutomo,2018,Implementation of Naïve Bayes Classifier Algorithm to Categorize Indonesian Song Lyrics Based on Age,10.1109/SIET.2018.8693201,https://ieeexplore.ieee.org/document/8693201/
"L. Wang, X. Lin and N. Lin",2021,Research on Pseudo-label Technology for Multi-label News Classification ,10.1007/978-3-030-86331-9_44,https://link.springer.com/chapter/10.1007/978-3-030-86331-9_44
S. R. Wulan and S. H. Supangkat,2018,Semi-supervised learning self-training for Indonesian motivational messages classification,10.1109/ICTSS.2017.8288888,https://ieeexplore.ieee.org/document/8288888/
"B. C. M. Xian, M. A. Saloot, A. S. M. Ghazali, K. Bouzekri, R. Mahmud and D. Lukose",2016,Benchmarking Mi-AR: Malay anaphora resolution,10.1109/OPTIP.2016.7528520,https://ieeexplore.ieee.org/document/7528520/
"Y. Yao, J. Cao, T. Wang, R. Liu, Z. Dai and H. Yuan",2020,Efficient Implementation of Dirty Words Detection in Decision Tree Model,10.1109/ICSIP49896.2020.9339316,https://ieeexplore.ieee.org/document/9339316/
"G. L. Yovellia Londo, D. H. Kartawijaya, H. T. Ivariyani, Y. S. Purnomo W.P, A. P. Muhammad Rafi and D. Ariyandi",2019,A Study of Text Classification for Indonesian News Article,10.1109/ICAIIT.2019.8834611,https://ieeexplore.ieee.org/document/8834611/
R. Yulianto and S. Mariyah,2017,Building automatic mind map generator for natural disaster news in Bahasa Indonesia,10.1109/ICITSI.2017.8267939,https://ieeexplore.ieee.org/document/8267939/
"A. Anisyah, T. E. Widagdo and F. N. Nur Azizah",2019,Natural Language Interface to Database (NLIDB) for Decision Support Queries,10.1109/ICoDSE48700.2019.9092769,https://ieeexplore.ieee.org/document/9092769/
"S. B. Bin Rodzman, N. K. Ismail and N. A. Rahman",2018,A Survey on Context-Aware Information Retrieval Research,10.1007/978-981-10-8276-4_38,https://link.springer.com/chapter/10.1007/978-981-10-8276-4_38
"S. B. Bin Rodzman, N. K. Ismail, N. A. Rahman and Z. M. Nor",2018,The implementation of fuzzy logic controller for defining the ranking function on Malay text corpus,10.1109/ICBDAA.2017.8284113,https://ieeexplore.ieee.org/document/8284113/
"S. B. Bin Rodzman, N. Kamal Ismail, N. A. Rahman, S. Ahmad Aljunid, H. A. Rahman, Z. M. Nor, K. Muhammad Naim Ku Khalif and A. Yunus Mohd Noor",2019,Experiment with text summarization as a positive hierarchical fuzzy logic ranking indicator for domain specific retrieval of Malay translated hadith,10.1109/ISCAIE.2019.8743988,https://ieeexplore.ieee.org/document/8743988/
"N. S. Fitriasari, K. E. Iftitah and R. R. Judhie Putra",2017,Indonesian document retrieval using vector space method,10.1109/ICSITech.2017.8257196,https://ieeexplore.ieee.org/document/8257196/
H. Ghassani and T. E. Widagdo,2018,Access to Relational Databases Using Interrogative Sentences in Indonesian Language,10.1109/ICODSE.2018.8705900,https://ieeexplore.ieee.org/document/8705900/
Y. Gultom and W. C. Wibowo,2018,Automatic open domain information extraction from Indonesian text,10.1109/IWBIS.2017.8275098,https://ieeexplore.ieee.org/document/8275098/
H. A. Hakimi and N. A. Rahman,2021,Developing the COVID-19 Malay Corpus Using WordPress Content Management System (CMS),10.1109/CAMP51653.2021.9498213,https://ieeexplore.ieee.org/document/9498213/
M. P. Hamzah and S. F. N. i. B. S. Kamaruddin,2021,Open Text Ontology Mining to Improve Retrievals of Information,10.14569/IJACSA.2021.0120758,https://thesai.org/Publications/ViewPaper?Volume=12&Issue=7&Code=IJACSA&SerialNo=58
"H. M. Hanum, N. F. Rasip and Z. Abu Bakar",2019,Multi-word similarity and retrieval model for a refined retrieval of quranic sentences,10.1007/978-3-030-34032-2_34,https://link.springer.com/chapter/10.1007/978-3-030-34032-2_34
"M. Z. Husin, S. Saad and S. A. M. Noah",2018,Syntactic rule-based approach for extracting concepts from quranic translation text,10.1109/ICEEI.2017.8312367,https://ieeexplore.ieee.org/document/8312367/
"Husni, I. O. Suzanti, Y. D. Pramudita, P. Sigit Susanto and L. Heryawan",2020,Web Service for Search Engine Bahasa Indonesia (SEBI),http://dx.doi.org/10.1088/1742-6596/1569/2/022087,https://iopscience.iop.org/article/10.1088/1742-6596/1569/2/022087/meta
"S. F. N. i. B. S. Kamaruddin, F. Mohd, M. P. Hamzah, F. Harun, N. R. Zainol and N. I. M. Daud",2021,Information Retrieval for Malay Text: A Decade Review of Research (2008-2019),10.1109/CAMP51653.2021.9498034,https://ieeexplore.ieee.org/document/9498034/
"T. Mantoro, M. A. Ayu and R. T. Handayanto",2020,Machine Learning Approach for Sentiment Analysis in Crime Information Retrieval,10.1109/IC2IE50715.2020.9274607,https://ieeexplore.ieee.org/document/9274607/
J. Pardede and M. M. Barmawi,2016,Implementation of LSI method on information retrieval for text document in bahasa Indonesia,,http://internetworkingindonesia.org/Issues/Vol8-No1-2016/iij_vol8_no1_2016_pardede.pdf
W. G. S. Parwita,2020,A document recommendation system of stemming and stopword removal impact: A web-based application,http://dx.doi.org/10.1088/1742-6596/1469/1/012050,https://iopscience.iop.org/article/10.1088/1742-6596/1469/1/012050/meta
"D. A. Poetra, T. Esterina Widagdo and F. N. Azizah",2019,Natural Language Interface to Database (NLIDB) for Query with Temporal Aspect,10.1109/ICoDSE48700.2019.9092618,https://ieeexplore.ieee.org/document/9092618/
"S. E. Pratama, W. Darmalaksana, D. Sa’adillah Maylawati, H. Sugilar, T. Mantoro and M. A. Ramdhani",2020,Weighted inverse document frequency and vector space model for hadith search engine,10.11591/ijeecs.v18.i2.pp1004-1014,http://ijeecs.iaescore.com/index.php/IJEECS/article/view/20974
"D. Purnamasari, R. Arianty, D. T. Susetianingtias and R. D. Kusumawati",2016,Query rewriting and corpus of semantic similarity as encryption method for documents in Indonesian language,10.1007/978-981-287-988-2_63,https://link.springer.com/chapter/10.1007/978-981-287-988-2_63
"W. T. H. Putri, M. S. Prastio, R. Hendrowati, Y. Sari and H. T. Y. Achsan",2019,Content-based Filtering Model for Recommendation of Indonesian Legal Article Study Case of Klinik Hukumonline,10.1109/IWBIS.2019.8935726,https://ieeexplore.ieee.org/document/8935726/
"R. A. Rahmanda, M. Adriani and D. Tanaya",2019,Cross Language Information Retrieval Using Parallel Corpus with Bilingual Mapping Method,10.1109/IALP48816.2019.9037705,https://ieeexplore.ieee.org/document/9037705/
"S. B. Rodzman, S. Hasbullah, N. K. Ismail, N. A. Rahman, Z. M. Nor and A. Y. M. Noor",2020,Fabricated and shia malay translated hadith as negative fuzzy logic ranking indicator on malay information retrieval,,https://oarep.usim.edu.my/jspui/handle/123456789/11117
"S. B. Rodzman, N. K. Ismail, N. A. Rahman, S. A. Aljunid, Z. M. Nor and A. Y. M. Noor",2019,Domain specific concept ontologies and text summarization as hierarchical fuzzy logic ranking indicator on Malay text corpus,10.11591/ijeecs.v15.i3.pp1527-1534,https://www.researchgate.net/profile/Ahmad-Mohd-Noor-5/publication/334007521_Experiment_with_Text_Summarization_as_a_Positive_Hierarchical_Fuzzy_Logic_Ranking_Indicator_for_Domain_Specific_Retrieval_of_Malay_Translated_Hadith/links/5eb048dba6fdcc7050a8931b/Experiment-with-Text-Summarization-as-a-Positive-Hierarchical-Fuzzy-Logic-Ranking-Indicator-for-Domain-Specific-Retrieval-of-Malay-Translated-Hadith.pdf
"A. Romadhony, A. Purwarianti and D. H. Widyantoro",2018,Rule-based Indonesian Open Information Extraction,10.1109/ICAICTA.2018.8541293,https://ieeexplore.ieee.org/document/8541293/
"S. Rosnan, N. A. Rahman, S. Mohamed Hatim and Z. H. Ghul",2019,"Performance Evaluation of Inverted Files, B-Tree and B+ Tree Indexing Algorithm on Malay Text",10.1109/ICRAIE47735.2019.9037757,https://ieeexplore.ieee.org/document/9037757/
"S. S. Sazali, Z. A. Bakar and J. Jaafar",2016,Word prediction algorithm in resolving ambiguity in Malay text,,https://ieeexplore.ieee.org/document/7724485/
"N. Yusuf, M. A. M. Yunus, N. Wahid and M. N. M. Salleh",2021,A Statistical Linguistic Terms Interrelationship Approach to Query Expansion Based on Terms Selection Value,10.1007/978-3-030-69143-1_19,https://link.springer.com/chapter/10.1007/978-3-030-69143-1_19
"N. S. S. Zulkefli, N. Abdul Rahman and M. Puteh",2017,A Survey: Framework of an Information Retrieval for Malay Translated Hadith Document,10.1051/matecconf/201713500073,https://www.matec-conferences.org/articles/matecconf/abs/2017/49/matecconf_icme2017_00073/matecconf_icme2017_00073.html
"I. Alfina, R. Manurung and M. I. Fanany",2017,DBpedia entities expansion in automatically building dataset for Indonesian NER,10.1109/ICACSIS.2016.7872784,https://ieeexplore.ieee.org/document/7872784/
"W. Aprilius, S. Hansun and D. Gunawan",2017,Entity annotation WordPress plugin using TAGME technology,10.12928/TELKOMNIKA.v15i1.4631,https://core.ac.uk/download/pdf/295539080.pdf
"B. Aryoyudanta, T. B. Adji and I. Hidayah",2017,Semi-supervised learning approach for Indonesian Named Entity Recognition (NER) using co-training algorithm,10.1109/ISITIA.2016.7828624,https://ieeexplore.ieee.org/document/7828624/
"S. A. Asmai, M. S. Salleh, H. Basiron and S. Ahmad",2018,An enhanced Malay named entity recognition using combination approach for crime textual data analysis,10.14569/ijacsa.2018.090960,https://pdfs.semanticscholar.org/52b6/fb75af9e4b811517cfddfd85561139ed0494.pdf
"I. S. Azarine, M. A. Bijaksana and I. Asror",2019,Named entity recognition on Indonesian tweets using hidden markov model,10.1109/ICoICT.2019.8835277,https://ieeexplore.ieee.org/document/8835277/
"N. S. Azzahra, M. O. Ibrohim, J. Fahmi, B. F. Apriyanto and O. Riandi",2020,Developing name entity recognition for structured and unstructured text formatting dataset,10.1109/ICIC50835.2020.9288566,https://ieeexplore.ieee.org/document/9288566/
"Z. A. Bakar, N. K. Ismail and M. I. M. Rawi",2017,Detection of compound word with combination noun and adjective using rule based technique in Malay standard document,,https://jtec.utem.edu.my/jtec/article/view/2974
"Z. A. Bakar, N. K. Ismail and M. I. M. Rawi",2018,Identification of Noun + Verb Compound Nouns in Malay Standard document based on rule based,10.1109/ICETSS.2017.8324176,https://ieeexplore.ieee.org/document/8324176/
"Z. A. Bakar, N. K. Ismail, M. I. M. Rawi and N. A. Rahman",2018,Automatic detection of compound word in Malay standard document using rule based technique,10.1109/ICOS.2017.8280275,https://ieeexplore.ieee.org/document/8280275/
"Y. Fu, N. Lin, X. Lin and S. Jiang",2021,Towards corpus and model: Hierarchical structured-attention-based features for Indonesian named entity recognition,10.3233/jifs-202286,http://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=150630612&site=ehost-live&authtype=sso&custid=s2773470
"W. Gunawan, D. Suhartono, F. Purnomo and A. Ongko",2018,Named-Entity Recognition for Indonesian Language using Bidirectional LSTM-CNNs,10.1016/j.procs.2018.08.193,https://www.sciencedirect.com/science/article/pii/S1877050918314832
"M. Ikhwan Syafiq, M. Shukor Talib, N. Salim, H. Haron and R. Alwee",2019,A Concise Review of Named Entity Recognition System: Methods and Features,10.1088/1757-899X/551/1/012052,https://iopscience.iop.org/article/10.1088/1757-899X/551/1/012052/meta
"S. O. Khairunnisa, A. Imankulova and M. Komachi",2020,Towards a Standardized Dataset on Indonesian Named Entity Recognition,,https://aclanthology.org/2020.aacl-srw.10
K. Kurniawan and S. Louvan,2018,Empirical Evaluation of Character-Based Model on Neural Named-Entity Recognition in Indonesian Conversational Texts,10.18653/v1/W18-6112,https://aclanthology.org/W18-6112
"R. A. Leonandya, B. Distiawan and N. H. Praptono",2016,A Semi-supervised Algorithm for Indonesian Named Entity Recognition,10.1109/ISCBI.2015.15,https://ieeexplore.ieee.org/document/7383535/
"R. Mohemad, N. N. M. Muhait, N. M. M. Noor and Z. A. Othman",2020,A review of named entity recognition and classification on unstructured Malay data,,http://www.jatit.org/volumes/Vol98No23/10Vol98No23.pdf
"N. M. Noor, J. Sulaiman and S. A. Noah",2016,Malay name entity recognition using limited resources,10.1166/asl.2016.7124,https://www.researchgate.net/profile/Noorhuzaimi-Mohd-Noor/publication/316089742_Malay_Name_Entity_Recognition_Using_Limited_Resources/links/5f43640fa6fdcccc43f4e687/Malay-Name-Entity-Recognition-Using-Limited-Resources.pdf
"V. Rachman, S. Savitri, F. Augustianti and R. Mahendra",2018,Named entity recognition on Indonesian Twitter posts using long short-term memory networks,10.1109/ICACSIS.2017.8355038,https://ieeexplore.ieee.org/document/8355038/
"S. Raharjo, R. Wardoyo and A. E. Putra",2020,Detecting proper nouns in indonesian-language translation of the quran using a guided method,10.1016/j.jksuci.2018.06.009,https://www.sciencedirect.com/science/article/pii/S1319157818300971
A. Rahman,2018,Medical Named Entity Recognition for Indonesian Language Using Word Representations,http://dx.doi.org/10.1088/1757-899X/325/1/012026,https://iopscience.iop.org/article/10.1088/1757-899X/325/1/012026/meta
S. Saad and M. Mohamed Kamil,2018,Pendekatan Teknik Pengecaman Entiti Nama Bagi Capaian Berita Jenayah Bahasa Melayu (Named Entity Recognition Approach for Malay Crime News Retrieval),http://dx.doi.org/10.17576/gema-2018-1804-14,https://www.proquest.com/scholarly-journals/pendekatan-teknik-pengecaman-entiti-nama-bagi/docview/2407351011/se-2?accountid=8330
